1568734042927000000;14.8178;14.9313;14.7597;14.7597;-1.629;1.137;0.178;-0.24
1568734042947000000;14.6549;14.8644;14.7568;14.7073;-1.153;0.844;0.215;-0.35
1568734042967000000;14.748;14.8877;14.7538;14.7538;-1.835;0.94;0.252;-0.562
1568734042988000000;14.7364;14.7975;14.7509;14.7538;-0.93;0.766;0.365;-0.6
1568734043008000000;14.6928;14.684;14.7219;14.6549;-2.127;1.827;0.529;-1.4
1568734043028000000;14.7335;14.7277;14.6986;14.7044;-1.722;1.092;0.82;-1.188
1568734043048000000;14.7277;14.6782;14.7189;14.7364;-1.587;1.471;0.615;-0.409
1568734043068000000;14.7451;14.6491;14.6957;14.684;-2.043;2.056;1.034;-1.581
1568734043088000000;14.7655;14.6753;14.7044;14.7131;-0.955;1.89;0.694;-0.737
1568734043108000000;14.7888;14.7975;14.7509;14.7888;-1.569;1.418;0.596;-1.452
1568734043128000000;14.812;14.7248;14.7044;14.6375;-1.178;2.456;1.672;-2.26
1568734043148000000;14.7509;14.7044;14.4717;14.4426;-0.552;0.884;2.687;-2.676
1568734043169000000;14.9662;15.0389;14.6142;14.8818;0.027;-0.018;1.611;0.121
1568734043188000000;14.9662;15.0389;14.7684;15.0273;0.02;0.122;0.989;-0.056
1568734043208000000;14.8178;14.9197;14.7946;14.8877;-2.097;0.711;1.908;-1.143
1568734043229000000;14.5997;14.7509;14.6404;14.5619;-1.29;1.029;2;-1.951
1568734043249000000;14.7044;14.6608;14.7248;14.7335;-1.218;1.359;1.808;-1.44
1568734043269000000;14.8818;14.8237;14.8586;14.8178;0.265;0.147;0.818;-0.295
1568734043289000000;14.9953;14.876;14.9138;14.8848;0.417;0.301;0.783;-0.496
1568734043309000000;14.8586;14.6171;14.7102;14.7335;-0.388;1.737;2.065;-1.802
1568734043329000000;14.8789;14.6288;14.8091;14.7829;0.529;1.906;0.632;-0.547
